1-byte character code	<C><F><I><N><Q>@1-byte character code<br />- (Tech) mã ký tự 1 bai</Q></N></I></F></C>
a b c	<C><F><I><N><Q>@a b c /'eibi:'si:/<br />*  danh từ<br />- bảng chữ cái<br />- khái niệm cơ sở, cơ sở<br />=a_b_c of chemistry+ khái niệm cơ sở về hoá học, cơ sở hoá học<br />- (ngành đường sắt) bảng chỉ đường theo abc</Q></N></I></F></C>
a b c - book	<C><F><I><N><Q>@a b c - book /'eibi:'si:buk/<br />*  danh từ<br />- sách vỡ lòng, sách học vần</Q></N></I></F></C>
a-bomb	<C><F><I><N><Q>@a-bomb /'ei'bɔm/<br />*  danh từ<br />- bom nguyên tử</Q></N></I></F></C>
A-D	<C><F><I><N><Q>@A-D = A/D = a-d (analog-to-digital)<br />- (Tech) đổi  dạng sóng (dạng tương tự) sang dạng số</Q></N></I></F></C>
a.d.	<C><F><I><N><Q>@a.d. /'ei'di:/<br />*  (viết tắt) của Ano Domin<br />- sau công nguyên<br />=1540 a.d.+ năm 1540 sau công nguyên</Q></N></I></F></C>
a.d.c	<C><F><I><N><Q>@a.d.c<br />- (vt của aide-de-camp) sự quan phụ tá</Q></N></I></F></C>
A-D conversion	<C><F><I><N><Q>@A-D conversion<br />- (Tech) đổi sóng (tương tự) - số</Q></N></I></F></C>
A-D converter circuit	<C><F><I><N><Q>@A-D converter circuit<br />- (Tech) mạch đổi sóng-số</Q></N></I></F></C>
A except B gate	<C><F><I><N><Q>@A except B gate<br />- (Tech) cổng A loại trừ B</Q></N></I></F></C>
a font	<C><F><I><N><Q>@a font /ɑ:'fɜ:ɳ/<br />*  phó từ<br />- thấu triệt, cặn kẽ, rõ ngọn nghành</Q></N></I></F></C>
a fortiori	<C><F><I><N><Q>@a fortiori /'ei,fɔ:ti'ɔ:rai/<br />*  phó từ<br />- huống hồ, huống là<br /><br />@a fortiori<br />- lại càng</Q></N></I></F></C>
a-going	<C><F><I><N><Q>@a-going /ə'gouiɳ/<br />*  tính từ &amp; phó từ<br />- đang chạy, đang chuyển động; đang hoạt động, đang tiến hành<br />=to set a-going+ cho chuyển động, cho chạy (máy...)</Q></N></I></F></C>
A ignore B gate	<C><F><I><N><Q>@A ignore B gate<br />- (Tech) cổng A không biết B</Q></N></I></F></C>
A implies B gate	<C><F><I><N><Q>@A implies B gate<br />- (Tech) cổng A bao hàm B</Q></N></I></F></C>
a la carte	<C><F><I><N><Q>@a la carte /'ɑ:lɑ:'kɑ:t/<br />*  phó từ<br />- theo món, gọi theo món, đặt theo món<br />=to dine a_la_carte+ ăn cơm gọi theo món</Q></N></I></F></C>
a la mode	<C><F><I><N><Q>@a la mode /,ɑ:lə'moud/<br />*  phó từ<br />- hợp thời trang, đúng mốt</Q></N></I></F></C>
a.m	<C><F><I><N><Q>@a.m<br />- (vt)(radio)viết tắt của amplitude modulation) biến điệu biên độ<br />- &lt;Mỹ&gt; (vt của Master of Arts) cao học văn chương<br />- (vt của tiếng Latinh Antemeridian) sáng, trước ngọ</Q></N></I></F></C>
a.m.	<C><F><I><N><Q>@a.m. /'ei'em/<br />*  phó từ<br />- (xem) ante_meridiem</Q></N></I></F></C>
a-ok	<C><F><I><N><Q>@a-ok<br />* tính từ<br />- &lt;Mỹ,khng&gt; giống như OK nhấn mạnh</Q></N></I></F></C>
a-pac-thai	<C><F><I><N><Q>@a-pac-thai<br />* danh từ<br />- apartheid</Q></N></I></F></C>
a-plenty	<C><F><I><N><Q>@a-plenty /ə'plenti/<br />*  phó từ<br />- (từ Mỹ,nghĩa Mỹ) nhiều, dồi dào, phong phú</Q></N></I></F></C>
a-point	<C><F><I><N><Q>@a-point<br />- (giải tích) a- điểm</Q></N></I></F></C>
a posteriori	<C><F><I><N><Q>@a posteriori /'eipɔs,teri'ɔ:rai/<br />*  phó từ &amp; tính từ<br />- theo phép quy nạp<br />=method a_posteriori+ phương pháp quy nạp<br />- hậu nghiệm<br />=probability a_posteriori+ (toán học) xác suất hậu nghiệm<br /><br />@a posteriori<br />- hậu nghiệm</Q></N></I></F></C>
a-power	<C><F><I><N><Q>@a-power /'ei'pauə/<br />*  danh từ<br />- năng lượng nguyên tử<br />- cường quốc nguyên tử</Q></N></I></F></C>
a priori	<C><F><I><N><Q>@a priori /'eiprai'ɔ:rai/<br />*  danh từ &amp; phó từ<br />- theo cách suy diễn, theo cách diễn dịch<br />- tiên nghiệm<br />=probability a_priori+ (toán học) xác xuất tiên nghiệm<br /><br />@a priori<br />- tiên nghiệm</Q></N></I></F></C>
a-road	<C><F><I><N><Q>@a-road<br />* danh từ<br />- đường lớn, không quan trọng bằng xa lộ, nhưng rộng và thẳng hơn đường loại B</Q></N></I></F></C>
a.s.a.p.	<C><F><I><N><Q>@asap<br />* (viết tắt)<br />- càng sớm càng tốt (As soon as possible)</Q></N></I></F></C>
A shares	<C><F><I><N><Q>@A shares<br />- (Econ) Cổ phiếu A.(Cổ phiếu hưởng lãi sau).<br />+ Xem FINANCIAL CAPITAL.</Q></N></I></F></C>
a-side	<C><F><I><N><Q>@a-side<br />* danh từ<br />- mặt chính của dĩa hát</Q></N></I></F></C>
A W O L	<C><F><I><N><Q>@awol /'eiwɔ:l/<br />*  tính từ<br />- (quân sự) nghỉ không được phép, nghỉ không xin phép</Q></N></I></F></C>
A4-size	<C><F><I><N><Q>@A4-size<br />- (Tech) khổ giấy A4 (21 cm x 29.7 cm)</Q></N></I></F></C>
aa	<C><F><I><N><Q>@aa<br />- (Alcoholics Anonymous) Hội cai rượu<br />- (Automobile Association) Hội ô tô</Q></N></I></F></C>
aaa	<C><F><I><N><Q>@aaa<br />- (Amateur Athletic Association) Hội thể thao không chuyên<br />- (American Automobile Association) Hiệp hội xe hơi Mỹ</Q></N></I></F></C>
aard-wolf	<C><F><I><N><Q>@aard-wolf /'ɑ:d,wulf/<br />*  danh từ<br />- (động vật học) chó sói đất (Nam Phi)</Q></N></I></F></C>
aardvark	<C><F><I><N><Q>@aardvark<br />* danh từ<br />- (động vật) lợn đất</Q></N></I></F></C>
aardvarks	<C><F><I><N><Q>@aardvark<br />* danh từ<br />- (động vật) lợn đất</Q></N></I></F></C>
aardwolf	<C><F><I><N><Q>@aardwolf<br />* danh từ<br />- &lt;động&gt; chó sói đất (Nam Phi)</Q></N></I></F></C>
aardwolves	<C><F><I><N><Q>@aardwolf<br />* danh từ<br />- &lt;động&gt; chó sói đất (Nam Phi)</Q></N></I></F></C>
aasvogel	<C><F><I><N><Q>@aasvogel /'ɑ:sfougəl/<br />*  danh từ<br />- (động vật học) con kên kên (Nam Phi)</Q></N></I></F></C>
ab	<C><F><I><N><Q>@ab<br />- (vt của able-bodied seaman) thủy thủ hạng nhất<br />- (vt của Bachelor of Arts) Cử nhân văn chương</Q></N></I></F></C>
aba	<C><F><I><N><Q>@aba /'ɑ:bə/<br />*  danh từ<br />- áo aba (áo ngoài giống hình cái túi người A-Rập)</Q></N></I></F></C>
abac, abacus	<C><F><I><N><Q>@abac, abacus<br />- bàn tính, toán đồ, bản đồ tính</Q></N></I></F></C>
abaca	<C><F><I><N><Q>@abaca<br />* danh từ<br />- vải dệt bằng tơ chuối abaca ở philipin<br />- cây chuối abaca</Q></N></I></F></C>
abaci	<C><F><I><N><Q>@abaci /'æbəkəs/<br />*  danh từ,  số nhiều abaci,  abacuses<br />- bàn tính<br />=to move counters of an abacus; to work an abacus+ tính bằng bàn tính, gảy bàn tính<br />- (kiến trúc)<br />- đầu cột, đỉnh cột</Q></N></I></F></C><C><F><I><N><Q>@abacus /'æbəkəs/<br />*  danh từ,  số nhiều abaci,  abacuses<br />- bàn tính<br />=to move counters of an abacus; to work an abacus+ tính bằng bàn tính, gảy bàn tính<br />- (kiến trúc)<br />- đầu cột, đỉnh cột<br /><br />@abacus<br />- (Tech) bàn toán</Q></N></I></F></C>
abacist	<C><F><I><N><Q>@abacist<br />* danh từ<br />- người gãy bàn phím<br />- người kế toán</Q></N></I></F></C>
aback	<C><F><I><N><Q>@aback /ə'bæk/<br />*  phó từ<br />- lùi lại, trở lại phía sau<br />=to stand aback from+ đứng lùi lại để tránh<br />- (hàng hải) bị thổi ép vào cột buồm (buồm)<br />=to be taken aback+ (hàng hải) bị gió thổi ép vào cột buồm<br />- (nghĩa bóng) sửng sốt, ngạc nhiên<br />=to be taken aback by the news+ sửng sốt vì cái tin đó</Q></N></I></F></C>
abacterial	<C><F><I><N><Q>@abacterial<br />* tính từ<br />- không do vi khuẩn gây ra</Q></N></I></F></C>
abaction	<C><F><I><N><Q>@abaction<br />* danh từ<br />- (từ pháp) việc gia súc bị bắt trộm</Q></N></I></F></C>
abactus	<C><F><I><N><Q>@abactus<br />* tính từ<br />- bị trụy thai</Q></N></I></F></C>
abacus	<C><F><I><N><Q>@abacus /'æbəkəs/<br />*  danh từ,  số nhiều abaci,  abacuses<br />- bàn tính<br />=to move counters of an abacus; to work an abacus+ tính bằng bàn tính, gảy bàn tính<br />- (kiến trúc)<br />- đầu cột, đỉnh cột<br /><br />@abacus<br />- (Tech) bàn toán</Q></N></I></F></C>
abacuses	<C><F><I><N><Q>@abacus /'æbəkəs/<br />*  danh từ,  số nhiều abaci,  abacuses<br />- bàn tính<br />=to move counters of an abacus; to work an abacus+ tính bằng bàn tính, gảy bàn tính<br />- (kiến trúc)<br />- đầu cột, đỉnh cột<br /><br />@abacus<br />- (Tech) bàn toán</Q></N></I></F></C>
abaddon	<C><F><I><N><Q>@abaddon /ə'bædən/<br />*  danh từ<br />- âm ti, địa ngục<br />- con quỷ</Q></N></I></F></C>
abaft	<C><F><I><N><Q>@abaft /ə'bɑ:ft/<br />*  phó từ<br />- (hàng hải) ở phía sau bánh lái, gần phía bánh lái<br />*  giới từ<br />- (hàng hải) sau, ở đằng sau, ở phía sau<br />=abaft the mast+ sau cột buồm</Q></N></I></F></C>
abalienate	<C><F><I><N><Q>@abalienate<br />* ngoại động từ<br />- nhường lại tài sản</Q></N></I></F></C>
abalienated	<C><F><I><N><Q>@abalienate<br />* ngoại động từ<br />- nhường lại tài sản</Q></N></I></F></C>
abalienates	<C><F><I><N><Q>@abalienate<br />* ngoại động từ<br />- nhường lại tài sản</Q></N></I></F></C>
abalienating	<C><F><I><N><Q>@abalienate<br />* ngoại động từ<br />- nhường lại tài sản</Q></N></I></F></C>
abalienation	<C><F><I><N><Q>@abalienation<br />* danh từ<br />- sự nhường lại tài sản</Q></N></I></F></C>
abalone	<C><F><I><N><Q>@abalone /,æbə'louni/<br />*  danh từ<br />- (từ Mỹ,nghĩa Mỹ) bào ngư</Q></N></I></F></C>
abalones	<C><F><I><N><Q>@abalone /,æbə'louni/<br />*  danh từ<br />- (từ Mỹ,nghĩa Mỹ) bào ngư</Q></N></I></F></C>
abampere	<C><F><I><N><Q>@abampere<br />- (Tech) abampe, ampe tuyệt đối (đơn vị cường độ tuyệt đối của dòng điện, 1 abampe = 10 ampe)</Q></N></I></F></C>
abandon	<C><F><I><N><Q>@abandon /ə'bændən/<br />*  ngoại động từ<br />- bộm (nhiếp ảnh) (nhiếp ảnh) (từ Mỹ,nghĩa Mỹ) từ bỏ; bỏ rơi, ruồng bỏ<br />=to abandon a hope+ từ bỏ hy vọng<br />=to abandon one's wife and children+ ruồng bỏ vợ con<br />=to abandon oneself to+ đắm đuối, chìm đắm vào (nỗi thất vọng...)<br />*  danh từ<br />- sự phóng túng, sự tự do, sự buông thả<br />=with abandon+ phóng túng<br /><br />@abandon<br />- (Tech) bỏ, bỏ rơi (đ)</Q></N></I></F></C>
abandon call	<C><F><I><N><Q>@abandon call<br />- (Tech) gọi bỏ</Q></N></I></F></C>
abandoned	<C><F><I><N><Q>@abandoned /ə'bændənd/<br />*  tính từ<br />- bị bỏ rơi, bị ruồng bỏ<br />- phóng đãng, truỵ lạc</Q></N></I></F></C><C><F><I><N><Q>@abandon /ə'bændən/<br />*  ngoại động từ<br />- bộm (nhiếp ảnh) (nhiếp ảnh) (từ Mỹ,nghĩa Mỹ) từ bỏ; bỏ rơi, ruồng bỏ<br />=to abandon a hope+ từ bỏ hy vọng<br />=to abandon one's wife and children+ ruồng bỏ vợ con<br />=to abandon oneself to+ đắm đuối, chìm đắm vào (nỗi thất vọng...)<br />*  danh từ<br />- sự phóng túng, sự tự do, sự buông thả<br />=with abandon+ phóng túng<br /><br />@abandon<br />- (Tech) bỏ, bỏ rơi (đ)</Q></N></I></F></C>
abandoner	<C><F><I><N><Q>@abandoner /ə'bændənə/<br />*  danh từ<br />- (pháp lý) người rút đơn</Q></N></I></F></C>
abandoners	<C><F><I><N><Q>@abandoner /ə'bændənə/<br />*  danh từ<br />- (pháp lý) người rút đơn</Q></N></I></F></C>
abandoning	<C><F><I><N><Q>@abandon /ə'bændən/<br />*  ngoại động từ<br />- bộm (nhiếp ảnh) (nhiếp ảnh) (từ Mỹ,nghĩa Mỹ) từ bỏ; bỏ rơi, ruồng bỏ<br />=to abandon a hope+ từ bỏ hy vọng<br />=to abandon one's wife and children+ ruồng bỏ vợ con<br />=to abandon oneself to+ đắm đuối, chìm đắm vào (nỗi thất vọng...)<br />*  danh từ<br />- sự phóng túng, sự tự do, sự buông thả<br />=with abandon+ phóng túng<br /><br />@abandon<br />- (Tech) bỏ, bỏ rơi (đ)</Q></N></I></F></C>
abandonment	<C><F><I><N><Q>@abandonment /ə'bændənmənt/<br />*  danh từ<br />- sự bỏ, sự từ bỏ, sự bỏ rơi, sự ruồng bỏ<br />- tình trạng bị bỏ rơi, tình trạng bị ruồng bỏ<br />- sự phóng túng, sự tự do, sự buông thả<br /><br />@abandonment<br />- (Tech) bỏ, từ bỏ (d)</Q></N></I></F></C>
abandonments	<C><F><I><N><Q>@abandonment /ə'bændənmənt/<br />*  danh từ<br />- sự bỏ, sự từ bỏ, sự bỏ rơi, sự ruồng bỏ<br />- tình trạng bị bỏ rơi, tình trạng bị ruồng bỏ<br />- sự phóng túng, sự tự do, sự buông thả<br /><br />@abandonment<br />- (Tech) bỏ, từ bỏ (d)</Q></N></I></F></C>
abandons	<C><F><I><N><Q>@abandon /ə'bændən/<br />*  ngoại động từ<br />- bộm (nhiếp ảnh) (nhiếp ảnh) (từ Mỹ,nghĩa Mỹ) từ bỏ; bỏ rơi, ruồng bỏ<br />=to abandon a hope+ từ bỏ hy vọng<br />=to abandon one's wife and children+ ruồng bỏ vợ con<br />=to abandon oneself to+ đắm đuối, chìm đắm vào (nỗi thất vọng...)<br />*  danh từ<br />- sự phóng túng, sự tự do, sự buông thả<br />=with abandon+ phóng túng<br /><br />@abandon<br />- (Tech) bỏ, bỏ rơi (đ)</Q></N></I></F></C>
abapikal	<C><F><I><N><Q>@abapikal<br />* tính từ<br />- (sinh học) xa đỉnh; xa ngọn<br />- dưới vực</Q></N></I></F></C>
abarticular	<C><F><I><N><Q>@abarticular<br />* tính từ<br />- (giải phẫu) học ngoài khớp; trật khớp</Q></N></I></F></C>
abas	<C><F><I><N><Q>@aba /'ɑ:bə/<br />*  danh từ<br />- áo aba (áo ngoài giống hình cái túi người A-Rập)</Q></N></I></F></C>
abase	<C><F><I><N><Q>@abase /ə'beis/<br />*  ngoại động từ<br />- làm hạ phẩm giá, làm mất thể diện, làm nhục<br />=to abase one-self+ tự hạ mình</Q></N></I></F></C>
abased	<C><F><I><N><Q>@abase /ə'beis/<br />*  ngoại động từ<br />- làm hạ phẩm giá, làm mất thể diện, làm nhục<br />=to abase one-self+ tự hạ mình</Q></N></I></F></C>
abasement	<C><F><I><N><Q>@abasement /ə'beismənt/<br />*  danh từ<br />- sự làm hạ phẩm giá, sự làm mất thể diện, sự làm nhục</Q></N></I></F></C>
abasements	<C><F><I><N><Q>@abasement /ə'beismənt/<br />*  danh từ<br />- sự làm hạ phẩm giá, sự làm mất thể diện, sự làm nhục</Q></N></I></F></C>
abases	<C><F><I><N><Q>@abase /ə'beis/<br />*  ngoại động từ<br />- làm hạ phẩm giá, làm mất thể diện, làm nhục<br />=to abase one-self+ tự hạ mình</Q></N></I></F></C>
abash	<C><F><I><N><Q>@abash /ə'bæʃ/<br />*  ngoại động từ<br />- làm bối rối, làm lúng túng, làm luống cuống</Q></N></I></F></C>
abashed	<C><F><I><N><Q>@abashed<br />* tính từ<br />- bối rối, xấu hổ</Q></N></I></F></C><C><F><I><N><Q>@abash /ə'bæʃ/<br />*  ngoại động từ<br />- làm bối rối, làm lúng túng, làm luống cuống</Q></N></I></F></C>
abashes	<C><F><I><N><Q>@abash /ə'bæʃ/<br />*  ngoại động từ<br />- làm bối rối, làm lúng túng, làm luống cuống</Q></N></I></F></C>
abashing	<C><F><I><N><Q>@abash /ə'bæʃ/<br />*  ngoại động từ<br />- làm bối rối, làm lúng túng, làm luống cuống</Q></N></I></F></C>
abashment	<C><F><I><N><Q>@abashment /ə'bæʃmənt/<br />*  danh từ<br />- sự bối rối, sự lúng túng, sự luống cuống</Q></N></I></F></C>
abashments	<C><F><I><N><Q>@abashment /ə'bæʃmənt/<br />*  danh từ<br />- sự bối rối, sự lúng túng, sự luống cuống</Q></N></I></F></C>
abasing	<C><F><I><N><Q>@abase /ə'beis/<br />*  ngoại động từ<br />- làm hạ phẩm giá, làm mất thể diện, làm nhục<br />=to abase one-self+ tự hạ mình</Q></N></I></F></C>
abask	<C><F><I><N><Q>@abask /ə'bɑ:sk/<br />*  phó từ<br />- (thơ ca) dưới ánh nắng, dưới ánh mặt trời, trong ánh lửa ấm</Q></N></I></F></C>
abatable	<C><F><I><N><Q>@abatable /ə'beitəbl/<br />*  tính từ<br />- có thể làm dịu, có thể làm yếu đi, có thể giảm bớt<br />- có thể hạ, có thể bớt<br />- có thể làm nhụt<br />- có thể chấm dứt, có thể thanh trừ<br />- (pháp lý) có thể huỷ bỏ, có thể thủ tiêu</Q></N></I></F></C>
abate	<C><F><I><N><Q>@abate /ə'beit/<br />*  ngoại động từ<br />- làm dịu đi, làm yếu đi, làm giảm bớt<br />=to abate a pain+ làm dịu đau<br />- hạ (giá), bớt (giá)<br />- làm nhụt (nhụt khí...)<br />- làm cùn (lưỡi dao...)<br />- thanh toán, làm mất hết (những điều khó chịu, bực bội)<br />- (pháp lý) huỷ bỏ, thủ tiêu<br />- (kỹ thuật) ram (thép)<br />*  nội động từ<br />- dịu đi, yếu đi, nhụt đi, đỡ, bớt, ngớt<br />=paint abates+ cơn đau dịu đi<br />=storm abates+ cơn bão ngớt</Q></N></I></F></C>
abated	<C><F><I><N><Q>@abate /ə'beit/<br />*  ngoại động từ<br />- làm dịu đi, làm yếu đi, làm giảm bớt<br />=to abate a pain+ làm dịu đau<br />- hạ (giá), bớt (giá)<br />- làm nhụt (nhụt khí...)<br />- làm cùn (lưỡi dao...)<br />- thanh toán, làm mất hết (những điều khó chịu, bực bội)<br />- (pháp lý) huỷ bỏ, thủ tiêu<br />- (kỹ thuật) ram (thép)<br />*  nội động từ<br />- dịu đi, yếu đi, nhụt đi, đỡ, bớt, ngớt<br />=paint abates+ cơn đau dịu đi<br />=storm abates+ cơn bão ngớt</Q></N></I></F></C>
abatement	<C><F><I><N><Q>@abatement /ə'beitmənt/<br />*  danh từ<br />- sự dịu đi, sự yếu đi, sự nhụt đi, sự giảm bớt, sự đỡ, sự ngớt<br />- sự hạ (giá), sự bớt (giá)<br />- sự chấm dứt, sự thanh toán<br />- (pháp lý) sự huỷ bỏ, sự thủ tiêu<br />=abatement of a contract+ sự huỷ bỏ một hợp đồng</Q></N></I></F></C>
Abatement cost	<C><F><I><N><Q>@Abatement cost<br />- (Econ) Chi phí kiểm soát; chi phí chống (ô nhiễm)<br />+ Chi phí làm giảm sự khó chịu như ô nhiễm hay tắc đường.</Q></N></I></F></C>
abatements	<C><F><I><N><Q>@abatement /ə'beitmənt/<br />*  danh từ<br />- sự dịu đi, sự yếu đi, sự nhụt đi, sự giảm bớt, sự đỡ, sự ngớt<br />- sự hạ (giá), sự bớt (giá)<br />- sự chấm dứt, sự thanh toán<br />- (pháp lý) sự huỷ bỏ, sự thủ tiêu<br />=abatement of a contract+ sự huỷ bỏ một hợp đồng</Q></N></I></F></C>
abater	<C><F><I><N><Q>@abater<br />* danh từ<br />- người giảm bớt<br />- (y học) thuốc làm dịu</Q></N></I></F></C>
abates	<C><F><I><N><Q>@abate /ə'beit/<br />*  ngoại động từ<br />- làm dịu đi, làm yếu đi, làm giảm bớt<br />=to abate a pain+ làm dịu đau<br />- hạ (giá), bớt (giá)<br />- làm nhụt (nhụt khí...)<br />- làm cùn (lưỡi dao...)<br />- thanh toán, làm mất hết (những điều khó chịu, bực bội)<br />- (pháp lý) huỷ bỏ, thủ tiêu<br />- (kỹ thuật) ram (thép)<br />*  nội động từ<br />- dịu đi, yếu đi, nhụt đi, đỡ, bớt, ngớt<br />=paint abates+ cơn đau dịu đi<br />=storm abates+ cơn bão ngớt</Q></N></I></F></C>
abating	<C><F><I><N><Q>@abate /ə'beit/<br />*  ngoại động từ<br />- làm dịu đi, làm yếu đi, làm giảm bớt<br />=to abate a pain+ làm dịu đau<br />- hạ (giá), bớt (giá)<br />- làm nhụt (nhụt khí...)<br />- làm cùn (lưỡi dao...)<br />- thanh toán, làm mất hết (những điều khó chịu, bực bội)<br />- (pháp lý) huỷ bỏ, thủ tiêu<br />- (kỹ thuật) ram (thép)<br />*  nội động từ<br />- dịu đi, yếu đi, nhụt đi, đỡ, bớt, ngớt<br />=paint abates+ cơn đau dịu đi<br />=storm abates+ cơn bão ngớt</Q></N></I></F></C>
abatis	<C><F><I><N><Q>@abatis /'æbətis/<br />*  danh từ,  số nhiều abatis<br />- (quân sự) đống cây chướng ngại, đống cây cản</Q></N></I></F></C>
abatised	<C><F><I><N><Q>@abatised /'æbətist/<br />*  tính từ<br />- (quân sự) có đống cây chướng ngại, có đống cây cản</Q></N></I></F></C>
abatises	<C><F><I><N><Q>@abatis /'æbətis/<br />*  danh từ,  số nhiều abatis<br />- (quân sự) đống cây chướng ngại, đống cây cản</Q></N></I></F></C>
abattoir	<C><F><I><N><Q>@abattoir /'æbətwɑ:/<br />*  danh từ<br />- lò mổ, lò sát sinh</Q></N></I></F></C>
abattoirs	<C><F><I><N><Q>@abattoir /'æbətwɑ:/<br />*  danh từ<br />- lò mổ, lò sát sinh</Q></N></I></F></C>
abaxial	<C><F><I><N><Q>@abaxial<br />* tính từ<br />- ở ngoài trục, xa trục</Q></N></I></F></C>
abaya	<C><F><I><N><Q>@abaya<br />* danh từ<br />- áo aba (của người A Rập)</Q></N></I></F></C>
abb	<C><F><I><N><Q>@abb /æb/<br />*  danh từ<br />- (nghành dệt) sợi canh, sợi khổ (của tấm vải)</Q></N></I></F></C>
abbacies	<C><F><I><N><Q>@abbacy /'æbəsi/<br />*  danh từ<br />- chức vị trưởng tu viện; quyền hạn trưởng tu viện</Q></N></I></F></C>
abbacy	<C><F><I><N><Q>@abbacy /'æbəsi/<br />*  danh từ<br />- chức vị trưởng tu viện; quyền hạn trưởng tu viện</Q></N></I></F></C>
